dataset,model,seed,test_hr,test_ndcg,test_auc,val_hr,val_ndcg,val_auc,epochs,val_epoch
support_groups_full_164,mf_baseline,42,0.057100,0.039500,0.509400,0.045500,0.028600,0.447500,20.000000,3.000000
support_groups_full_164,mf_baseline,52,0.057100,0.049000,0.551800,0.045500,0.028600,0.433400,20.000000,1.000000
support_groups_full_164,mf_baseline,62,0.042900,0.018800,0.535000,0.030300,0.021000,0.479600,20.000000,1.000000
support_groups_full_164,mf_baseline,122,0.057100,0.023400,0.507400,0.060600,0.028700,0.534100,20.000000,7.000000
support_groups_full_164,mf_baseline,232,0.014300,0.014300,0.493000,0.030300,0.021000,0.492400,20.000000,4.000000
support_groups_full_164,mf_pl,42,0.000000,0.000000,0.459200,0.060600,0.028000,0.509500,20.000000,1.000000
support_groups_full_164,mf_pl,52,0.014300,0.014300,0.496700,0.030300,0.024700,0.482700,20.000000,1.000000
support_groups_full_164,mf_pl,62,0.028600,0.023300,0.456600,0.015200,0.009600,0.537600,20.000000,1.000000
support_groups_full_164,mf_pl,122,0.042900,0.034100,0.536600,0.060600,0.029200,0.462100,20.000000,2.000000
support_groups_full_164,mf_pl,232,0.042900,0.035700,0.510200,0.030300,0.021700,0.468300,20.000000,1.000000
support_groups_full_164,mlp_baseline,42,0.014300,0.005500,0.369600,0.015200,0.005900,0.393300,20.000000,1.000000
support_groups_full_164,mlp_baseline,52,0.000000,0.000000,0.360900,0.030300,0.011700,0.363000,20.000000,2.000000
support_groups_full_164,mlp_baseline,62,0.000000,0.000000,0.132400,0.000000,0.000000,0.160600,20.000000,20.000000
support_groups_full_164,mlp_baseline,122,0.014300,0.006200,0.408000,0.045500,0.032300,0.454200,20.000000,1.000000
support_groups_full_164,mlp_baseline,232,0.000000,0.000000,0.138100,0.000000,0.000000,0.166500,20.000000,20.000000
support_groups_full_164,mlp_pl,42,0.000000,0.000000,0.136100,0.000000,0.000000,0.164700,20.000000,20.000000
support_groups_full_164,mlp_pl,52,0.014300,0.005500,0.406200,0.030300,0.012400,0.480400,20.000000,1.000000
support_groups_full_164,mlp_pl,62,0.014300,0.005500,0.354100,0.015200,0.007600,0.424200,20.000000,1.000000
support_groups_full_164,mlp_pl,122,0.042900,0.025200,0.458500,0.015200,0.005900,0.433300,20.000000,1.000000
support_groups_full_164,mlp_pl,232,0.000000,0.000000,0.152800,0.000000,0.000000,0.145000,20.000000,20.000000
support_groups_full_164,neumf_baseline,42,0.028600,0.028600,0.406700,0.030300,0.015400,0.420100,20.000000,1.000000
support_groups_full_164,neumf_baseline,52,0.028600,0.013300,0.475400,0.015200,0.009600,0.430100,20.000000,1.000000
support_groups_full_164,neumf_baseline,62,0.042900,0.033000,0.467200,0.045500,0.032300,0.459600,20.000000,1.000000
support_groups_full_164,neumf_baseline,122,0.028600,0.019800,0.460800,0.045500,0.028600,0.521100,20.000000,1.000000
support_groups_full_164,neumf_baseline,232,0.042900,0.027000,0.481600,0.106100,0.074400,0.510600,20.000000,1.000000
support_groups_full_164,neumf_pl,42,0.057100,0.036600,0.490100,0.015200,0.009600,0.496000,20.000000,1.000000
support_groups_full_164,neumf_pl,52,0.057100,0.036000,0.507300,0.106100,0.059300,0.575300,20.000000,1.000000
support_groups_full_164,neumf_pl,62,0.071400,0.037600,0.567200,0.090900,0.046200,0.485400,20.000000,6.000000
support_groups_full_164,neumf_pl,122,0.057100,0.044700,0.531500,0.030300,0.018700,0.526700,20.000000,1.000000
support_groups_full_164,neumf_pl,232,0.071400,0.039900,0.499300,0.045500,0.019300,0.501700,20.000000,1.000000
support_groups_full_164,mf_baseline,median,0.057100,0.023400,0.509400,0.045500,0.028600,0.479600,20.000000,3.000000
support_groups_full_164,mf_baseline,mean,0.045700,0.029000,0.519300,0.042400,0.025600,0.477400,20.000000,3.200000
support_groups_full_164,mf_baseline,std,0.018600,0.014700,0.023600,0.012700,0.004200,0.039600,0.000000,2.490000
support_groups_full_164,mf_pl,median,0.028600,0.023300,0.496700,0.030300,0.024700,0.482700,20.000000,1.000000
support_groups_full_164,mf_pl,mean,0.025700,0.021500,0.491900,0.039400,0.022600,0.492000,20.000000,1.200000
support_groups_full_164,mf_pl,std,0.018600,0.014800,0.034200,0.020300,0.007900,0.031400,0.000000,0.447200
support_groups_full_164,mlp_baseline,median,0.000000,0.000000,0.360900,0.015200,0.005900,0.363000,20.000000,2.000000
support_groups_full_164,mlp_baseline,mean,0.005700,0.002300,0.281800,0.018200,0.010000,0.307500,20.000000,8.800000
support_groups_full_164,mlp_baseline,std,0.007800,0.003200,0.135000,0.019800,0.013400,0.135500,0.000000,10.232300
support_groups_full_164,mlp_pl,median,0.014300,0.005500,0.354100,0.015200,0.005900,0.424200,20.000000,1.000000
support_groups_full_164,mlp_pl,mean,0.014300,0.007200,0.301600,0.012100,0.005200,0.329500,20.000000,8.600000
support_groups_full_164,mlp_pl,std,0.017500,0.010400,0.148200,0.012700,0.005300,0.161000,0.000000,10.406700
support_groups_full_164,neumf_baseline,median,0.028600,0.027000,0.467200,0.045500,0.028600,0.459600,20.000000,1.000000
support_groups_full_164,neumf_baseline,mean,0.034300,0.024300,0.458300,0.048500,0.032100,0.468300,20.000000,1.000000
support_groups_full_164,neumf_baseline,std,0.007800,0.007800,0.029900,0.034600,0.025400,0.045900,0.000000,0.000000
support_groups_full_164,neumf_pl,median,0.057100,0.037600,0.507300,0.045500,0.019300,0.501700,20.000000,1.000000
support_groups_full_164,neumf_pl,mean,0.062900,0.039000,0.519100,0.057600,0.030600,0.517000,20.000000,2.000000
support_groups_full_164,neumf_pl,std,0.007800,0.003500,0.031000,0.039200,0.021100,0.035900,0.000000,2.236100
support_groups_full_164_loo,mf_baseline,42,0.042200,0.024600,0.503300,0.060200,0.030500,0.521900,20.000000,8.000000
support_groups_full_164_loo,mf_baseline,52,0.048200,0.026800,0.475300,0.024100,0.010900,0.461500,20.000000,2.000000
support_groups_full_164_loo,mf_baseline,62,0.048200,0.030300,0.515400,0.054200,0.025000,0.521500,20.000000,5.000000
support_groups_full_164_loo,mf_baseline,122,0.072300,0.045300,0.527700,0.084300,0.045600,0.508900,20.000000,1.000000
support_groups_full_164_loo,mf_baseline,232,0.018100,0.008200,0.490300,0.054200,0.030800,0.467100,20.000000,7.000000
support_groups_full_164_loo,mf_pl,42,0.066300,0.043000,0.493400,0.042200,0.020500,0.492800,20.000000,2.000000
support_groups_full_164_loo,mf_pl,52,0.024100,0.012200,0.458500,0.048200,0.022700,0.508800,20.000000,1.000000
support_groups_full_164_loo,mf_pl,62,0.072300,0.048200,0.482700,0.048200,0.030300,0.524300,20.000000,4.000000
support_groups_full_164_loo,mf_pl,122,0.036100,0.023000,0.465500,0.066300,0.043500,0.496200,20.000000,4.000000
support_groups_full_164_loo,mf_pl,232,0.072300,0.039600,0.483100,0.048200,0.022400,0.486200,20.000000,1.000000
support_groups_full_164_loo,mlp_baseline,42,0.036100,0.019900,0.474400,0.018100,0.009100,0.433200,20.000000,1.000000
support_groups_full_164_loo,mlp_baseline,52,0.042200,0.024600,0.463800,0.018100,0.009100,0.443500,20.000000,1.000000
support_groups_full_164_loo,mlp_baseline,62,0.012000,0.004900,0.437200,0.018100,0.013600,0.438100,20.000000,1.000000
support_groups_full_164_loo,mlp_baseline,122,0.006000,0.002600,0.448300,0.024100,0.016200,0.420800,20.000000,1.000000
support_groups_full_164_loo,mlp_baseline,232,0.036100,0.018600,0.485100,0.036100,0.022600,0.428200,20.000000,1.000000
support_groups_full_164_loo,mlp_pl,42,0.060200,0.030600,0.494100,0.048200,0.026100,0.495600,20.000000,1.000000
support_groups_full_164_loo,mlp_pl,52,0.072300,0.043400,0.491900,0.030100,0.020200,0.471500,20.000000,1.000000
support_groups_full_164_loo,mlp_pl,62,0.030100,0.018200,0.465600,0.060200,0.034400,0.490100,20.000000,1.000000
support_groups_full_164_loo,mlp_pl,122,0.066300,0.037500,0.514200,0.048200,0.028700,0.487100,20.000000,1.000000
support_groups_full_164_loo,mlp_pl,232,0.036100,0.018900,0.455800,0.048200,0.028100,0.442600,20.000000,3.000000
support_groups_full_164_loo,neumf_baseline,42,0.030100,0.016300,0.421300,0.018100,0.014400,0.419200,20.000000,2.000000
support_groups_full_164_loo,neumf_baseline,52,0.042200,0.023000,0.459200,0.048200,0.029400,0.495200,20.000000,1.000000
support_groups_full_164_loo,neumf_baseline,62,0.048200,0.025400,0.419500,0.030100,0.024200,0.490500,20.000000,1.000000
support_groups_full_164_loo,neumf_baseline,122,0.048200,0.029700,0.497800,0.042200,0.030300,0.491800,20.000000,1.000000
support_groups_full_164_loo,neumf_baseline,232,0.054200,0.030600,0.475700,0.042200,0.028100,0.500300,20.000000,1.000000
support_groups_full_164_loo,neumf_pl,42,0.042200,0.026900,0.469100,0.042200,0.025800,0.512000,20.000000,1.000000
support_groups_full_164_loo,neumf_pl,52,0.054200,0.033000,0.504700,0.078300,0.041800,0.478900,20.000000,1.000000
support_groups_full_164_loo,neumf_pl,62,0.036100,0.021100,0.517800,0.054200,0.031200,0.538400,20.000000,1.000000
support_groups_full_164_loo,neumf_pl,122,0.060200,0.037300,0.477900,0.054200,0.040100,0.503000,20.000000,1.000000
support_groups_full_164_loo,neumf_pl,232,0.066300,0.032800,0.519200,0.048200,0.025700,0.497800,20.000000,1.000000
support_groups_full_164_loo,mf_baseline,median,0.048200,0.026800,0.503300,0.054200,0.030500,0.508900,20.000000,5.000000
support_groups_full_164_loo,mf_baseline,mean,0.045800,0.027000,0.502400,0.055400,0.028600,0.496200,20.000000,4.600000
support_groups_full_164_loo,mf_baseline,std,0.019300,0.013300,0.020500,0.021500,0.012500,0.029600,0.000000,3.049600
support_groups_full_164_loo,mf_pl,median,0.066300,0.039600,0.482700,0.048200,0.022700,0.496200,20.000000,2.000000
support_groups_full_164_loo,mf_pl,mean,0.054200,0.033200,0.476600,0.050600,0.027900,0.501700,20.000000,2.400000
support_groups_full_164_loo,mf_pl,std,0.022500,0.015100,0.014300,0.009100,0.009500,0.015100,0.000000,1.516600
support_groups_full_164_loo,mlp_baseline,median,0.036100,0.018600,0.463800,0.018100,0.013600,0.433200,20.000000,1.000000
support_groups_full_164_loo,mlp_baseline,mean,0.026500,0.014100,0.461800,0.022900,0.014100,0.432800,20.000000,1.000000
support_groups_full_164_loo,mlp_baseline,std,0.016300,0.009700,0.019300,0.007900,0.005600,0.008800,0.000000,0.000000
support_groups_full_164_loo,mlp_pl,median,0.060200,0.030600,0.491900,0.048200,0.028100,0.487100,20.000000,1.000000
support_groups_full_164_loo,mlp_pl,mean,0.053000,0.029700,0.484300,0.047000,0.027500,0.477400,20.000000,1.400000
support_groups_full_164_loo,mlp_pl,std,0.018800,0.011200,0.023500,0.010800,0.005100,0.021400,0.000000,0.894400
support_groups_full_164_loo,neumf_baseline,median,0.048200,0.025400,0.459200,0.042200,0.028100,0.491800,20.000000,1.000000
support_groups_full_164_loo,neumf_baseline,mean,0.044600,0.025000,0.454700,0.036100,0.025300,0.479400,20.000000,1.200000
support_groups_full_164_loo,neumf_baseline,std,0.009100,0.005800,0.034200,0.012000,0.006500,0.033900,0.000000,0.447200
support_groups_full_164_loo,neumf_pl,median,0.054200,0.032800,0.504700,0.054200,0.031200,0.503000,20.000000,1.000000
support_groups_full_164_loo,neumf_pl,mean,0.051800,0.030200,0.497700,0.055400,0.032900,0.506000,20.000000,1.000000
support_groups_full_164_loo,neumf_pl,std,0.012500,0.006300,0.023100,0.013700,0.007700,0.021800,0.000000,0.000000
